blood_pressure,blood_pressure_product,blood_pressure_product_type,blood_pressure_product_price,blood_pressure_product_image,blood_pressure_product_description,sugar_level,sugar_level_product,sugar_level_product_type,sugar_level_product_price,sugar_level_product_image,sugar_level_product_description,cholesterol_level,cholesterol_level_product,cholesterol_level_product_type,cholesterol_level_product_price,cholesterol_level_product_image,cholesterol_level_product_description
normal,Yoga Guide,guide,9.99,https://www.infobooks.org/pdfview/4520-the-yoga-meditation-swami-krishnananda/,Comprehensive guide to yoga practices for a healthy lifestyle.,normal,Dietary Guide,guide,12.99,https://www.breathewellbeing.in/blog/best-yoga-asanas-for-diabetes-to-control-at-home-naturally/,Guide to maintaining a balanced diet for optimal health.,normal,Healthy Living Guide,guide,10.99,https://healthy-ojas.com/cholesterol/cholesterol-yoga.html,Guide for maintaining a healthy lifestyle and balanced cholesterol.
normal,Yoga Guide,guide,9.99,https://www.infobooks.org/pdfview/4520-the-yoga-meditation-swami-krishnananda/,Comprehensive guide to yoga practices for a healthy lifestyle.,high,Sugar Medicine A,medicine,22.99,https://th.bing.com/th/id/OIP.xjmh75nvSsne7t9e5eGQKwHaHa?rs=1&pid=ImgDetMain,Medicine for controlling high sugar levels in the blood.,normal,Healthy Living Guide,guide,10.99,https://healthy-ojas.com/cholesterol/cholesterol-yoga.html,Guide for maintaining a healthy lifestyle and balanced cholesterol.
high,BP Medicine C,medicine,29.99,https://krishnaayurved.com/cdn/shop/files/BP_Hemo_540x.jpg?v=1683716304,Advanced medication for high blood pressure management.,normal,Dietary Guide,guide,12.99,https://www.breathewellbeing.in/blog/best-yoga-asanas-for-diabetes-to-control-at-home-naturally/,Guide to maintaining a balanced diet for optimal health.,normal,Healthy Living Guide,guide,10.99,https://healthy-ojas.com/cholesterol/cholesterol-yoga.html,Guide for maintaining a healthy lifestyle and balanced cholesterol.
low,BP Medicine B,medicine,24.99,https://www.healthshots.com/fitness/staying-fit/yoga-for-high-bp-how-to-manage-blood-pressure-naturally/,Helps in stabilizing low blood pressure levels.,normal,Dietary Guide,guide,12.99,https://www.breathewellbeing.in/blog/best-yoga-asanas-for-diabetes-to-control-at-home-naturally/,Guide to maintaining a balanced diet for optimal health.,low,Cholesterol Supplement A,supplement,17.99,https://api.time.com/wp-content/uploads/2015/08/repatha.png,Supplement to manage low cholesterol levels.
low,Bp Medicine A,medicine,19.99,https://i5.walmartimages.com/asr/30de5405-ddf7-49b4-a4db-11773f75f6b9.d37c347022e8e931be718f17d896d295.jpeg,Effective medicine for low blood pressure control.,low,Sugar Supplement A,supplement,14.99,https://images-na.ssl-images-amazon.com/images/I/61gsHZkIMlL.SL1500.jpg,Supplement designed to help manage low sugar levels.,normal,Healthy Living Guide,guide,10.99,https://healthy-ojas.com/cholesterol/cholesterol-yoga.html,Guide for maintaining a healthy lifestyle and balanced cholesterol.
low,Bp Medicine A,medicine,19.99,https://i5.walmartimages.com/asr/30de5405-ddf7-49b4-a4db-11773f75f6b9.d37c347022e8e931be718f17d896d295.jpeg,Effective medicine for low blood pressure control.,normal,Dietary Guide,guide,12.99,https://www.breathewellbeing.in/blog/best-yoga-asanas-for-diabetes-to-control-at-home-naturally/,Guide to maintaining a balanced diet for optimal health.,normal,Healthy Living Guide,guide,10.99,https://healthy-ojas.com/cholesterol/cholesterol-yoga.html,Guide for maintaining a healthy lifestyle and balanced cholesterol.
low,BP Medicine B,medicine,24.99,https://www.healthshots.com/fitness/staying-fit/yoga-for-high-bp-how-to-manage-blood-pressure-naturally/,Helps in stabilizing low blood pressure levels.,high,Sugar Medicine A,medicine,22.99,https://th.bing.com/th/id/OIP.xjmh75nvSsne7t9e5eGQKwHaHa?rs=1&pid=ImgDetMain,Medicine for controlling high sugar levels in the blood.,low,Cholesterol Supplement A,supplement,17.99,https://api.time.com/wp-content/uploads/2015/08/repatha.png,Supplement to manage low cholesterol levels.
high,BP Medicine C,medicine,29.99,https://krishnaayurved.com/cdn/shop/files/BP_Hemo_540x.jpg?v=1683716304,Advanced medication for high blood pressure management.,high,Sugar Medicine A,medicine,22.99,https://th.bing.com/th/id/OIP.xjmh75nvSsne7t9e5eGQKwHaHa?rs=1&pid=ImgDetMain,Medicine for controlling high sugar levels in the blood.,low,Cholesterol Supplement A,supplement,17.99,https://api.time.com/wp-content/uploads/2015/08/repatha.png,Supplement to manage low cholesterol levels.
normal,Yoga Guide,guide,9.99,https://www.infobooks.org/pdfview/4520-the-yoga-meditation-swami-krishnananda/,Comprehensive guide to yoga practices for a healthy lifestyle.,high,Sugar Medicine A,medicine,22.99,https://th.bing.com/th/id/OIP.xjmh75nvSsne7t9e5eGQKwHaHa?rs=1&pid=ImgDetMain,Medicine for controlling high sugar levels in the blood.,high,Cholesterol Medicine A,medicine,27.99,https://www.verywellhealth.com/thmb/U2H3YXvtC3m_p09w6jCCcME68Yo=/1500x1000/filters:no_upscale():max_bytes(150000):strip_icc()/Lipitor-56d2ef9e3df78cfb37d0f1f0.jpg,Medicine for managing high cholesterol levels effectively.
low,BP Medicine B,medicine,24.99,https://www.healthshots.com/fitness/staying-fit/yoga-for-high-bp-how-to-manage-blood-pressure-naturally/,Helps in stabilizing low blood pressure levels.,normal,Dietary Guide,guide,12.99,https://www.breathewellbeing.in/blog/best-yoga-asanas-for-diabetes-to-control-at-home-naturally/,Guide to maintaining a balanced diet for optimal health.,high,Cholesterol Medicine A,medicine,27.99,https://www.verywellhealth.com/thmb/U2H3YXvtC3m_p09w6jCCcME68Yo=/1500x1000/filters:no_upscale():max_bytes(150000):strip_icc()/Lipitor-56d2ef9e3df78cfb37d0f1f0.jpg,Medicine for managing high cholesterol levels effectively.
low,BP Medicine B,medicine,24.99,https://www.healthshots.com/fitness/staying-fit/yoga-for-high-bp-how-to-manage-blood-pressure-naturally/,Helps in stabilizing low blood pressure levels.,normal,Dietary Guide,guide,12.99,https://www.breathewellbeing.in/blog/best-yoga-asanas-for-diabetes-to-control-at-home-naturally/,Guide to maintaining a balanced diet for optimal health.,normal,Healthy Living Guide,guide,10.99,https://healthy-ojas.com/cholesterol/cholesterol-yoga.html,Guide for maintaining a healthy lifestyle and balanced cholesterol.
normal,Yoga Guide,guide,9.99,https://www.infobooks.org/pdfview/4520-the-yoga-meditation-swami-krishnananda/,Comprehensive guide to yoga practices for a healthy lifestyle.,low,Sugar Supplement A,supplement,14.99,https://images-na.ssl-images-amazon.com/images/I/61gsHZkIMlL.SL1500.jpg,Supplement designed to help manage low sugar levels.,normal,Healthy Living Guide,guide,10.99,https://healthy-ojas.com/cholesterol/cholesterol-yoga.html,Guide for maintaining a healthy lifestyle and balanced cholesterol.
low,Bp Medicine A,medicine,19.99,https://i5.walmartimages.com/asr/30de5405-ddf7-49b4-a4db-11773f75f6b9.d37c347022e8e931be718f17d896d295.jpeg,Effective medicine for low blood pressure control.,high,Sugar Medicine A,medicine,22.99,https://th.bing.com/th/id/OIP.xjmh75nvSsne7t9e5eGQKwHaHa?rs=1&pid=ImgDetMain,Medicine for controlling high sugar levels in the blood.,normal,Healthy Living Guide,guide,10.99,https://healthy-ojas.com/cholesterol/cholesterol-yoga.html,Guide for maintaining a healthy lifestyle and balanced cholesterol.
low,Bp Medicine A,medicine,19.99,https://i5.walmartimages.com/asr/30de5405-ddf7-49b4-a4db-11773f75f6b9.d37c347022e8e931be718f17d896d295.jpeg,Effective medicine for low blood pressure control.,normal,Dietary Guide,guide,12.99,https://www.breathewellbeing.in/blog/best-yoga-asanas-for-diabetes-to-control-at-home-naturally/,Guide to maintaining a balanced diet for optimal health.,high,Cholesterol Medicine A,medicine,27.99,https://www.verywellhealth.com/thmb/U2H3YXvtC3m_p09w6jCCcME68Yo=/1500x1000/filters:no_upscale():max_bytes(150000):strip_icc()/Lipitor-56d2ef9e3df78cfb37d0f1f0.jpg,Medicine for managing high cholesterol levels effectively.
normal,Yoga Guide,guide,9.99,https://www.infobooks.org/pdfview/4520-the-yoga-meditation-swami-krishnananda/,Comprehensive guide to yoga practices for a healthy lifestyle.,normal,Dietary Guide,guide,12.99,https://www.breathewellbeing.in/blog/best-yoga-asanas-for-diabetes-to-control-at-home-naturally/,Guide to maintaining a balanced diet for optimal health.,low,Cholesterol Supplement A,supplement,17.99,https://api.time.com/wp-content/uploads/2015/08/repatha.png,Supplement to manage low cholesterol levels.
high,BP Medicine C,medicine,29.99,https://krishnaayurved.com/cdn/shop/files/BP_Hemo_540x.jpg?v=1683716304,Advanced medication for high blood pressure management.,high,Sugar Medicine A,medicine,22.99,https://th.bing.com/th/id/OIP.xjmh75nvSsne7t9e5eGQKwHaHa?rs=1&pid=ImgDetMain,Medicine for controlling high sugar levels in the blood.,high,Cholesterol Medicine A,medicine,27.99,https://www.verywellhealth.com/thmb/U2H3YXvtC3m_p09w6jCCcME68Yo=/1500x1000/filters:no_upscale():max_bytes(150000):strip_icc()/Lipitor-56d2ef9e3df78cfb37d0f1f0.jpg,Medicine for managing high cholesterol levels effectively.
high,BP Medicine C,medicine,29.99,https://krishnaayurved.com/cdn/shop/files/BP_Hemo_540x.jpg?v=1683716304,Advanced medication for high blood pressure management.,high,Sugar Medicine A,medicine,22.99,https://th.bing.com/th/id/OIP.xjmh75nvSsne7t9e5eGQKwHaHa?rs=1&pid=ImgDetMain,Medicine for controlling high sugar levels in the blood.,normal,Healthy Living Guide,guide,10.99,https://healthy-ojas.com/cholesterol/cholesterol-yoga.html,Guide for maintaining a healthy lifestyle and balanced cholesterol.
low,BP Medicine B,medicine,24.99,https://www.healthshots.com/fitness/staying-fit/yoga-for-high-bp-how-to-manage-blood-pressure-naturally/,Helps in stabilizing low blood pressure levels.,low,Sugar Supplement A,supplement,14.99,https://images-na.ssl-images-amazon.com/images/I/61gsHZkIMlL.SL1500.jpg,Supplement designed to help manage low sugar levels.,normal,Healthy Living Guide,guide,10.99,https://healthy-ojas.com/cholesterol/cholesterol-yoga.html,Guide for maintaining a healthy lifestyle and balanced cholesterol.
high,BP Medicine C,medicine,29.99,https://krishnaayurved.com/cdn/shop/files/BP_Hemo_540x.jpg?v=1683716304,Advanced medication for high blood pressure management.,low,Sugar Supplement A,supplement,14.99,https://images-na.ssl-images-amazon.com/images/I/61gsHZkIMlL.SL1500.jpg,Supplement designed to help manage low sugar levels.,low,Cholesterol Supplement A,supplement,17.99,https://api.time.com/wp-content/uploads/2015/08/repatha.png,Supplement to manage low cholesterol levels.
high,BP Medicine C,medicine,29.99,https://krishnaayurved.com/cdn/shop/files/BP_Hemo_540x.jpg?v=1683716304,Advanced medication for high blood pressure management.,normal,Dietary Guide,guide,12.99,https://www.breathewellbeing.in/blog/best-yoga-asanas-for-diabetes-to-control-at-home-naturally/,Guide to maintaining a balanced diet for optimal health.,low,Cholesterol Supplement A,supplement,17.99,https://api.time.com/wp-content/uploads/2015/08/repatha.png,Supplement to manage low cholesterol levels.
normal,Yoga Guide,guide,9.99,https://www.infobooks.org/pdfview/4520-the-yoga-meditation-swami-krishnananda/,Comprehensive guide to yoga practices for a healthy lifestyle.,low,Sugar Supplement A,supplement,14.99,https://images-na.ssl-images-amazon.com/images/I/61gsHZkIMlL.SL1500.jpg,Supplement designed to help manage low sugar levels.,high,Cholesterol Medicine A,medicine,27.99,https://www.verywellhealth.com/thmb/U2H3YXvtC3m_p09w6jCCcME68Yo=/1500x1000/filters:no_upscale():max_bytes(150000):strip_icc()/Lipitor-56d2ef9e3df78cfb37d0f1f0.jpg,Medicine for managing high cholesterol levels effectively.
low,Bp Medicine A,medicine,19.99,https://i5.walmartimages.com/asr/30de5405-ddf7-49b4-a4db-11773f75f6b9.d37c347022e8e931be718f17d896d295.jpeg,Effective medicine for low blood pressure control.,high,Sugar Medicine A,medicine,22.99,https://th.bing.com/th/id/OIP.xjmh75nvSsne7t9e5eGQKwHaHa?rs=1&pid=ImgDetMain,Medicine for controlling high sugar levels in the blood.,high,Cholesterol Medicine A,medicine,27.99,https://www.verywellhealth.com/thmb/U2H3YXvtC3m_p09w6jCCcME68Yo=/1500x1000/filters:no_upscale():max_bytes(150000):strip_icc()/Lipitor-56d2ef9e3df78cfb37d0f1f0.jpg,Medicine for managing high cholesterol levels effectively.
high,BP Medicine C,medicine,29.99,https://krishnaayurved.com/cdn/shop/files/BP_Hemo_540x.jpg?v=1683716304,Advanced medication for high blood pressure management.,low,Sugar Supplement A,supplement,14.99,https://images-na.ssl-images-amazon.com/images/I/61gsHZkIMlL.SL1500.jpg,Supplement designed to help manage low sugar levels.,normal,Healthy Living Guide,guide,10.99,https://healthy-ojas.com/cholesterol/cholesterol-yoga.html,Guide for maintaining a healthy lifestyle and balanced cholesterol.
normal,Yoga Guide,guide,9.99,https://www.infobooks.org/pdfview/4520-the-yoga-meditation-swami-krishnananda/,Comprehensive guide to yoga practices for a healthy lifestyle.,normal,Dietary Guide,guide,12.99,https://www.breathewellbeing.in/blog/best-yoga-asanas-for-diabetes-to-control-at-home-naturally/,Guide to maintaining a balanced diet for optimal health.,high,Cholesterol Medicine A,medicine,27.99,https://www.verywellhealth.com/thmb/U2H3YXvtC3m_p09w6jCCcME68Yo=/1500x1000/filters:no_upscale():max_bytes(150000):strip_icc()/Lipitor-56d2ef9e3df78cfb37d0f1f0.jpg,Medicine for managing high cholesterol levels effectively.
high,BP Medicine C,medicine,29.99,https://krishnaayurved.com/cdn/shop/files/BP_Hemo_540x.jpg?v=1683716304,Advanced medication for high blood pressure management.,low,Sugar Supplement A,supplement,14.99,https://images-na.ssl-images-amazon.com/images/I/61gsHZkIMlL.SL1500.jpg,Supplement designed to help manage low sugar levels.,high,Cholesterol Medicine A,medicine,27.99,https://www.verywellhealth.com/thmb/U2H3YXvtC3m_p09w6jCCcME68Yo=/1500x1000/filters:no_upscale():max_bytes(150000):strip_icc()/Lipitor-56d2ef9e3df78cfb37d0f1f0.jpg,Medicine for managing high cholesterol levels effectively.
high,BP Medicine C,medicine,29.99,https://krishnaayurved.com/cdn/shop/files/BP_Hemo_540x.jpg?v=1683716304,Advanced medication for high blood pressure management.,normal,Dietary Guide,guide,12.99,https://www.breathewellbeing.in/blog/best-yoga-asanas-for-diabetes-to-control-at-home-naturally/,Guide to maintaining a balanced diet for optimal health.,high,Cholesterol Medicine A,medicine,27.99,https://www.verywellhealth.com/thmb/U2H3YXvtC3m_p09w6jCCcME68Yo=/1500x1000/filters:no_upscale():max_bytes(150000):strip_icc()/Lipitor-56d2ef9e3df78cfb37d0f1f0.jpg,Medicine for managing high cholesterol levels effectively.
low,Bp Medicine A,medicine,19.99,https://i5.walmartimages.com/asr/30de5405-ddf7-49b4-a4db-11773f75f6b9.d37c347022e8e931be718f17d896d295.jpeg,Effective medicine for low blood pressure control.,normal,Dietary Guide,guide,12.99,https://www.breathewellbeing.in/blog/best-yoga-asanas-for-diabetes-to-control-at-home-naturally/,Guide to maintaining a balanced diet for optimal health.,low,Cholesterol Supplement A,supplement,17.99,https://api.time.com/wp-content/uploads/2015/08/repatha.png,Supplement to manage low cholesterol levels.
normal,Yoga Guide,guide,9.99,https://www.infobooks.org/pdfview/4520-the-yoga-meditation-swami-krishnananda/,Comprehensive guide to yoga practices for a healthy lifestyle.,high,Sugar Medicine A,medicine,22.99,https://th.bing.com/th/id/OIP.xjmh75nvSsne7t9e5eGQKwHaHa?rs=1&pid=ImgDetMain,Medicine for controlling high sugar levels in the blood.,low,Cholesterol Supplement A,supplement,17.99,https://api.time.com/wp-content/uploads/2015/08/repatha.png,Supplement to manage low cholesterol levels.
normal,Yoga Guide,guide,9.99,https://www.infobooks.org/pdfview/4520-the-yoga-meditation-swami-krishnananda/,Comprehensive guide to yoga practices for a healthy lifestyle.,low,Sugar Supplement A,supplement,14.99,https://images-na.ssl-images-amazon.com/images/I/61gsHZkIMlL.SL1500.jpg,Supplement designed to help manage low sugar levels.,low,Cholesterol Supplement A,supplement,17.99,https://api.time.com/wp-content/uploads/2015/08/repatha.png,Supplement to manage low cholesterol levels.
low,BP Medicine B,medicine,24.99,https://www.healthshots.com/fitness/staying-fit/yoga-for-high-bp-how-to-manage-blood-pressure-naturally/,Helps in stabilizing low blood pressure levels.,high,Sugar Medicine A,medicine,22.99,https://th.bing.com/th/id/OIP.xjmh75nvSsne7t9e5eGQKwHaHa?rs=1&pid=ImgDetMain,Medicine for controlling high sugar levels in the blood.,high,Cholesterol Medicine A,medicine,27.99,https://www.verywellhealth.com/thmb/U2H3YXvtC3m_p09w6jCCcME68Yo=/1500x1000/filters:no_upscale():max_bytes(150000):strip_icc()/Lipitor-56d2ef9e3df78cfb37d0f1f0.jpg,Medicine for managing high cholesterol levels effectively.
low,BP Medicine B,medicine,24.99,https://www.healthshots.com/fitness/staying-fit/yoga-for-high-bp-how-to-manage-blood-pressure-naturally/,Helps in stabilizing low blood pressure levels.,high,Sugar Medicine A,medicine,22.99,https://th.bing.com/th/id/OIP.xjmh75nvSsne7t9e5eGQKwHaHa?rs=1&pid=ImgDetMain,Medicine for controlling high sugar levels in the blood.,normal,Healthy Living Guide,guide,10.99,https://healthy-ojas.com/cholesterol/cholesterol-yoga.html,Guide for maintaining a healthy lifestyle and balanced cholesterol.
low,BP Medicine B,medicine,24.99,https://www.healthshots.com/fitness/staying-fit/yoga-for-high-bp-how-to-manage-blood-pressure-naturally/,Helps in stabilizing low blood pressure levels.,low,Sugar Supplement A,supplement,14.99,https://images-na.ssl-images-amazon.com/images/I/61gsHZkIMlL.SL1500.jpg,Supplement designed to help manage low sugar levels.,low,Cholesterol Supplement A,supplement,17.99,https://api.time.com/wp-content/uploads/2015/08/repatha.png,Supplement to manage low cholesterol levels.
low,Bp Medicine A,medicine,19.99,https://i5.walmartimages.com/asr/30de5405-ddf7-49b4-a4db-11773f75f6b9.d37c347022e8e931be718f17d896d295.jpeg,Effective medicine for low blood pressure control.,low,Sugar Supplement A,supplement,14.99,https://images-na.ssl-images-amazon.com/images/I/61gsHZkIMlL.SL1500.jpg,Supplement designed to help manage low sugar levels.,low,Cholesterol Supplement A,supplement,17.99,https://api.time.com/wp-content/uploads/2015/08/repatha.png,Supplement to manage low cholesterol levels.
low,Bp Medicine A,medicine,19.99,https://i5.walmartimages.com/asr/30de5405-ddf7-49b4-a4db-11773f75f6b9.d37c347022e8e931be718f17d896d295.jpeg,Effective medicine for low blood pressure control.,high,Sugar Medicine A,medicine,22.99,https://th.bing.com/th/id/OIP.xjmh75nvSsne7t9e5eGQKwHaHa?rs=1&pid=ImgDetMain,Medicine for controlling high sugar levels in the blood.,low,Cholesterol Supplement A,supplement,17.99,https://api.time.com/wp-content/uploads/2015/08/repatha.png,Supplement to manage low cholesterol levels.
low,Bp Medicine A,medicine,19.99,https://i5.walmartimages.com/asr/30de5405-ddf7-49b4-a4db-11773f75f6b9.d37c347022e8e931be718f17d896d295.jpeg,Effective medicine for low blood pressure control.,low,Sugar Supplement A,supplement,14.99,https://images-na.ssl-images-amazon.com/images/I/61gsHZkIMlL.SL1500.jpg,Supplement designed to help manage low sugar levels.,high,Cholesterol Medicine A,medicine,27.99,https://www.verywellhealth.com/thmb/U2H3YXvtC3m_p09w6jCCcME68Yo=/1500x1000/filters:no_upscale():max_bytes(150000):strip_icc()/Lipitor-56d2ef9e3df78cfb37d0f1f0.jpg,Medicine for managing high cholesterol levels effectively.
low,BP Medicine B,medicine,24.99,https://www.healthshots.com/fitness/staying-fit/yoga-for-high-bp-how-to-manage-blood-pressure-naturally/,Helps in stabilizing low blood pressure levels.,low,Sugar Supplement A,supplement,14.99,https://images-na.ssl-images-amazon.com/images/I/61gsHZkIMlL.SL1500.jpg,Supplement designed to help manage low sugar levels.,high,Cholesterol Medicine A,medicine,27.99,https://www.verywellhealth.com/thmb/U2H3YXvtC3m_p09w6jCCcME68Yo=/1500x1000/filters:no_upscale():max_bytes(150000):strip_icc()/Lipitor-56d2ef9e3df78cfb37d0f1f0.jpg,Medicine for managing high cholesterol levels effectively.